
Sun Aug  4 06:26:38 2024
x_start = 0, dx = 100000000
(17200000000, 62986036)
(17300000000, 63336098)
(17400000000, 63686080)
(17500000000, 64036780)
(17600000000, 64387903)
(17700000000, 64737857)
(17800000000, 65087763)
(17900000000, 65438592)
(18000000000, 65788679)
(18100000000, 66138247)
(18200000000, 66489283)
(18300000000, 66838097)
(18400000000, 67187855)
(18500000000, 67537586)
(18600000000, 67887626)
(18700000000, 68236952)
(18800000000, 68586054)
(18900000000, 68935118)
(19000000000, 69283820)
(19100000000, 69633195)
(19200000000, 69981950)
(19300000000, 70331695)
(19400000000, 70680255)
(19500000000, 71028659)
(19600000000, 71377410)
(19700000000, 71725738)
(19800000000, 72074058)
(19900000000, 72422513)
(20000000000, 72770931)
(20100000000, 73119084)
(20200000000, 73467098)
(20300000000, 73815828)
(20400000000, 74163162)
(20500000000, 74511188)
(20600000000, 74859471)
(20700000000, 75208434)
(20800000000, 75556722)
(20900000000, 75904227)
(21000000000, 76252371)
(21100000000, 76599871)
(21200000000, 76947826)
(21300000000, 77294705)
(21400000000, 77641178)
(21500000000, 77989575)
(21600000000, 78336750)
(21700000000, 78683967)
(21800000000, 79029749)
(21900000000, 79376925)
(22000000000, 79723758)
(22100000000, 80070862)
(22200000000, 80417748)
(22300000000, 80764854)
(22400000000, 81111973)
(22500000000, 81457799)
(22600000000, 81804550)
(22700000000, 82150489)
(22800000000, 82496831)
(22900000000, 82842905)
(23000000000, 83189131)
(23100000000, 83535554)
(23200000000, 83881992)
(23300000000, 84228343)
(23400000000, 84574494)
(23500000000, 84920338)
(23600000000, 85266027)
(23700000000, 85611976)
(23800000000, 85957907)
(23900000000, 86303294)
(24000000000, 86648742)
(24100000000, 86994917)
(24200000000, 87339924)
(24300000000, 87685064)
(24400000000, 88030288)
(24500000000, 88376146)
(24600000000, 88721324)
(24700000000, 89066339)
(24800000000, 89412144)
(24900000000, 89756645)
(25000000000, 90102458)
(25100000000, 90447684)
(25200000000, 90792989)
(25300000000, 91137326)
(25400000000, 91482602)
(25500000000, 91827337)
(25600000000, 92171714)
(25700000000, 92516008)
(25800000000, 92861174)
(25900000000, 93206794)
(26000000000, 93551478)
(26100000000, 93896006)
(26200000000, 94241282)
(26300000000, 94585834)
(26400000000, 94930750)
(26500000000, 95275225)
(26600000000, 95619418)
(26700000000, 95963853)
(26800000000, 96308129)
(26900000000, 96650794)
(27000000000, 96995279)
(27100000000, 97338941)
(27200000000, 97682005)
(27300000000, 98026638)
(27400000000, 98370583)
(27500000000, 98714326)
(27600000000, 99058526)
(27700000000, 99402772)
(27800000000, 99747195)
(27900000000, 100090304)
(28000000000, 100434018)
(28100000000, 100777773)
(28200000000, 101121446)
(28300000000, 101464714)
(28400000000, 101808494)
(28500000000, 102151584)
(28600000000, 102494983)
(28700000000, 102838367)
(28800000000, 103182471)
(28900000000, 103526125)
(29000000000, 103868958)
(29100000000, 104212931)
(29200000000, 104555700)
(29300000000, 104898113)
(29400000000, 105240954)
(29500000000, 105583552)
(29600000000, 105927173)
(29700000000, 106270020)
(29800000000, 106613447)
(29900000000, 106956285)
(30000000000, 107298975)
(30100000000, 107642617)
(30200000000, 107985607)
(30300000000, 108328785)
(30400000000, 108672357)
(30500000000, 109014508)
(30600000000, 109357048)
(30700000000, 109699394)
(30800000000, 110041406)
(30900000000, 110383229)
(31000000000, 110725550)
(31100000000, 111067216)
(31200000000, 111409537)
(31300000000, 111751218)
(31400000000, 112093579)
(31500000000, 112435317)
(31600000000, 112777878)
(31700000000, 113119638)
(31800000000, 113462426)
(31900000000, 113803747)
(32000000000, 114145821)
(32100000000, 114488553)
(32200000000, 114829831)
(32300000000, 115171992)
(32400000000, 115513985)
(32500000000, 115855112)
(32600000000, 116197112)
(32700000000, 116538561)
(32800000000, 116880493)
(32900000000, 117222290)
(33000000000, 117563449)
(33100000000, 117905338)
(33200000000, 118246297)
(33300000000, 118587297)
(33400000000, 118928464)
(33500000000, 119269726)
(33600000000, 119610321)
(33700000000, 119951445)
(33800000000, 120292852)
(33900000000, 120634579)
(34000000000, 120976175)
(34100000000, 121317528)
(34200000000, 121658936)
(34300000000, 122000035)
(34400000000, 122340309)
(34500000000, 122680708)
(34600000000, 123020947)
(34700000000, 123361936)
(34800000000, 123701674)
(34900000000, 124042326)
(35000000000, 124381529)
(35100000000, 124721575)
(35200000000, 125062439)
(35300000000, 125402421)
(35400000000, 125742307)
(35500000000, 126083296)
(35600000000, 126423986)
(35700000000, 126764426)
(35800000000, 127105089)
(35900000000, 127444926)
(36000000000, 127785190)
(36100000000, 128125034)
(36200000000, 128465421)
(36300000000, 128805119)
(36400000000, 129145460)
(36500000000, 129485176)
(36600000000, 129825389)
(36700000000, 130165320)
(36800000000, 130505003)
(36900000000, 130844598)
(37000000000, 131183824)
(37100000000, 131524271)
(37200000000, 131863861)
(37300000000, 132203680)
(37400000000, 132543635)
(37500000000, 132883506)
(37600000000, 133222992)
(37700000000, 133562211)
(37800000000, 133901280)
(37900000000, 134240953)
(38000000000, 134580781)
(38100000000, 134920124)
(38200000000, 135259337)
(38300000000, 135599234)
(38400000000, 135938999)
(38500000000, 136279608)
(38600000000, 136619088)
(38700000000, 136958951)
(38800000000, 137297827)
(38900000000, 137636672)
(39000000000, 137975117)
(39100000000, 138313652)
(39200000000, 138651994)
(39300000000, 138990320)
(39400000000, 139330017)
(39500000000, 139669237)
(39600000000, 140008057)
(39700000000, 140346742)
(39800000000, 140686137)
(39900000000, 141024582)
(40000000000, 141363308)
(40100000000, 141701704)
(40200000000, 142040677)
(40300000000, 142379129)
(40400000000, 142717132)
(40500000000, 143055749)
(40600000000, 143394933)
(40700000000, 143732950)
(40800000000, 144071859)
(40900000000, 144410529)
(41000000000, 144749790)
(41100000000, 145088322)
(41200000000, 145426703)
(41300000000, 145765629)
(41400000000, 146104526)
(41500000000, 146442268)
(41600000000, 146779671)
(41700000000, 147117422)
(41800000000, 147455696)
(41900000000, 147793056)
(42000000000, 148131329)
(42100000000, 148469691)
(42200000000, 148807650)
(42300000000, 149145156)
(42400000000, 149483834)
(42500000000, 149821149)
(42600000000, 150158976)
(42700000000, 150497065)
(42800000000, 150834983)
(42900000000, 151172788)
(43000000000, 151510219)
(43100000000, 151847710)
(43200000000, 152185142)
(43300000000, 152523806)
(43400000000, 152860967)
(43500000000, 153199081)
(43600000000, 153536571)
(43700000000, 153874253)
(43800000000, 154211841)
(43900000000, 154549874)
(44000000000, 154888262)
(44100000000, 155226252)
(44200000000, 155563065)
(44300000000, 155900537)
(44400000000, 156237629)
(44500000000, 156575873)
(44600000000, 156913490)
(44700000000, 157250882)
(44800000000, 157587519)
(44900000000, 157925291)
(45000000000, 158263118)
(45100000000, 158600849)
(45200000000, 158938376)
(45300000000, 159275782)
(45400000000, 159612816)
(45500000000, 159949033)
(45600000000, 160286101)
(45700000000, 160623522)
(45800000000, 160960057)
(45900000000, 161296765)
(46000000000, 161633899)
(46100000000, 161970764)
(46200000000, 162307666)
(46300000000, 162644698)
(46400000000, 162981121)
(46500000000, 163317617)
(46600000000, 163654992)
(46700000000, 163991724)
(46800000000, 164327968)
(46900000000, 164665171)
(47000000000, 165002311)
(47100000000, 165338140)
(47200000000, 165674572)
(47300000000, 166011341)
(47400000000, 166348424)
(47500000000, 166684069)
(47600000000, 167019971)
(47700000000, 167356354)
(47800000000, 167691598)
(47900000000, 168027989)
(48000000000, 168363403)
(48100000000, 168699153)
(48200000000, 169035454)
(48300000000, 169371506)
(48400000000, 169707975)
(48500000000, 170044431)
(48600000000, 170381493)
(48700000000, 170717570)
(48800000000, 171054711)
(48900000000, 171390963)
(49000000000, 171726995)
(49100000000, 172063248)
(49200000000, 172399839)
(49300000000, 172735904)
(49400000000, 173071983)
(49500000000, 173407517)
(49600000000, 173742505)
(49700000000, 174077726)
(49800000000, 174414298)
(49900000000, 174750233)
(50000000000, 175085540)
(50100000000, 175420327)
(50200000000, 175755705)
(50300000000, 176091124)
(50400000000, 176426964)
(50500000000, 176762985)
(50600000000, 177098800)
(50700000000, 177435552)
(50800000000, 177770831)
(50900000000, 178105413)
(51000000000, 178440701)
(51100000000, 178775943)
(51200000000, 179111052)
(51300000000, 179446147)
(51400000000, 179781902)
(51500000000, 180117382)
(51600000000, 180453216)
(51700000000, 180788721)
(51800000000, 181124140)
(51900000000, 181459956)
(52000000000, 181795978)
(52100000000, 182130642)
(52200000000, 182466471)
(52300000000, 182801934)
(52400000000, 183137847)
(52500000000, 183472912)
(52600000000, 183808750)
(52700000000, 184143465)
(52800000000, 184479056)
(52900000000, 184814398)
(53000000000, 185149238)
(53100000000, 185484427)
(53200000000, 185819030)
(53300000000, 186154370)
(53400000000, 186489568)
(53500000000, 186824345)
(53600000000, 187158630)
(53700000000, 187493354)
(53800000000, 187828111)
(53900000000, 188163843)
(54000000000, 188498800)
(54100000000, 188833351)
(54200000000, 189167518)
(54300000000, 189501513)
(54400000000, 189836532)
(54500000000, 190171069)
(54600000000, 190506466)
(54700000000, 190840939)
(54800000000, 191174966)
(54900000000, 191507839)
(55000000000, 191843687)
(55100000000, 192177944)
(55200000000, 192512800)
(55300000000, 192847387)
(55400000000, 193182003)
(55500000000, 193515567)
(55600000000, 193849992)
(55700000000, 194184030)
(55800000000, 194519703)
(55900000000, 194853851)
(56000000000, 195188589)
(56100000000, 195523183)
(56200000000, 195857424)
(56300000000, 196191908)
(56400000000, 196526631)
(56500000000, 196860904)
(56600000000, 197194962)
(56700000000, 197529807)
(56800000000, 197864370)
(56900000000, 198198242)
(57000000000, 198531450)
(57100000000, 198865518)
(57200000000, 199199399)
(57300000000, 199533095)
(57400000000, 199866791)
(57500000000, 200201027)
(57600000000, 200534859)
(57700000000, 200868492)
(57800000000, 201202569)
(57900000000, 201536377)
(58000000000, 201869800)
(58100000000, 202203069)
(58200000000, 202537170)
(58300000000, 202871518)
(58400000000, 203205559)
(58500000000, 203539139)
(58600000000, 203872403)
(58700000000, 204206452)
(58800000000, 204540218)
(58900000000, 204874010)
(59000000000, 205208325)
(59100000000, 205541231)
(59200000000, 205875307)
(59300000000, 206208514)
(59400000000, 206542680)
(59500000000, 206876573)
(59600000000, 207208904)
(59700000000, 207542529)
(59800000000, 207876943)
(59900000000, 208209352)
(60000000000, 208542967)
(60100000000, 208876795)
(60200000000, 209209968)
(60300000000, 209543617)
(60400000000, 209877115)
(60500000000, 210210392)
(60600000000, 210542656)
(60700000000, 210874872)
(60800000000, 211207757)
(60900000000, 211541165)
(61000000000, 211873735)
(61100000000, 212206927)
(61200000000, 212540957)
(61300000000, 212873857)
(61400000000, 213207267)
(61500000000, 213540922)
(61600000000, 213873745)
(61700000000, 214206549)
(61800000000, 214539295)
(61900000000, 214872018)
(62000000000, 215205032)
(62100000000, 215538881)
(62200000000, 215871209)
(62300000000, 216204385)
(62400000000, 216536353)
(62500000000, 216870080)
(62600000000, 217202461)
(62700000000, 217535013)
(62800000000, 217868785)
(62900000000, 218201392)
(63000000000, 218534278)
(63100000000, 218866767)
(63200000000, 219199234)
(63300000000, 219531419)
(63400000000, 219864663)
(63500000000, 220196311)
(63600000000, 220529589)
(63700000000, 220861981)
(63800000000, 221194066)
(63900000000, 221526577)
(64000000000, 221858928)
(64100000000, 222191161)
(64200000000, 222524294)
(64300000000, 222856279)
(64400000000, 223188882)
(64500000000, 223521282)
(64600000000, 223853632)
(64700000000, 224185779)
(64800000000, 224518252)
(64900000000, 224851186)
(65000000000, 225183156)
(65100000000, 225514793)
(65200000000, 225846316)
(65300000000, 226178232)
(65400000000, 226510887)
(65500000000, 226843007)
(65600000000, 227175562)
(65700000000, 227507738)
(65800000000, 227839967)
(65900000000, 228171802)
(66000000000, 228503451)
(66100000000, 228835965)
(66200000000, 229168428)
(66300000000, 229500543)
(66400000000, 229833244)
(66500000000, 230165209)
(66600000000, 230497981)
(66700000000, 230829981)
(66800000000, 231162522)
(66900000000, 231494514)
(67000000000, 231825587)
(67100000000, 232157074)
(67200000000, 232489305)
(67300000000, 232821145)
(67400000000, 233152433)
(67500000000, 233484271)
(67600000000, 233815837)
(67700000000, 234146908)
(67800000000, 234478768)
(67900000000, 234809268)
(68000000000, 235140813)
(68100000000, 235471986)
(68200000000, 235804766)
(68300000000, 236136537)
(68400000000, 236468095)
(68500000000, 236800290)
(68600000000, 237132923)
(68700000000, 237465622)
(68800000000, 237797645)
(68900000000, 238129150)
(69000000000, 238460758)
(69100000000, 238792924)
(69200000000, 239125064)
(69300000000, 239456681)
(69400000000, 239788703)
(69500000000, 240119640)
(69600000000, 240451072)
(69700000000, 240783138)
(69800000000, 241114604)
(69900000000, 241444456)
(70000000000, 241775700)
(70100000000, 242105747)
(70200000000, 242436428)
(70300000000, 242768231)
(70400000000, 243101198)
(70500000000, 243433466)
(70600000000, 243764795)
(70700000000, 244095914)
(70800000000, 244427324)
(70900000000, 244758588)
(71000000000, 245089841)
(71100000000, 245422145)
(71200000000, 245753677)
(71300000000, 246084741)
(71400000000, 246415796)
(71500000000, 246746516)
(71600000000, 247077348)
(71700000000, 247407861)
(71800000000, 247739364)
(71900000000, 248070002)
(72000000000, 248401318)
(72100000000, 248732324)
(72200000000, 249063840)
(72300000000, 249394995)
(72400000000, 249726171)
(72500000000, 250057447)
(72600000000, 250388442)
(72700000000, 250719571)
(72800000000, 251049864)
(72900000000, 251381062)
(73000000000, 251711771)
(73100000000, 252042288)
(73200000000, 252373266)
(73300000000, 252704473)
(73400000000, 253034608)
(73500000000, 253365706)
(73600000000, 253696003)
(73700000000, 254027067)
(73800000000, 254358030)
(73900000000, 254690159)
(74000000000, 255020268)
(74100000000, 255350941)
(74200000000, 255681564)
(74300000000, 256011051)
(74400000000, 256342146)
(74500000000, 256671841)
(74600000000, 257001940)
(74700000000, 257332165)
(74800000000, 257662077)
(74900000000, 257992943)
(75000000000, 258324101)
(75100000000, 258654548)
(75200000000, 258984641)
(75300000000, 259313910)
(75400000000, 259643631)
(75500000000, 259974258)
(75600000000, 260305091)
(75700000000, 260635022)
(75800000000, 260965695)
(75900000000, 261295715)
(76000000000, 261626508)
(76100000000, 261957462)
(76200000000, 262287056)
(76300000000, 262617268)
(76400000000, 262947251)
(76500000000, 263277034)
(76600000000, 263607489)
(76700000000, 263937256)
(76800000000, 264267754)
(76900000000, 264597651)
(77000000000, 264927549)
(77100000000, 265257901)
(77200000000, 265588134)
(77300000000, 265918063)
(77400000000, 266247869)
(77500000000, 266577946)
(77600000000, 266908108)
(77700000000, 267237797)
(77800000000, 267567667)
(77900000000, 267898139)
(78000000000, 268227903)
(78100000000, 268558599)
(78200000000, 268888921)
(78300000000, 269218519)
(78400000000, 269548158)
(78500000000, 269877470)
(78600000000, 270207881)
(78700000000, 270538067)
(78800000000, 270866723)
(78900000000, 271197089)
(79000000000, 271526938)
(79100000000, 271856659)
(79200000000, 272186312)
(79300000000, 272516457)
(79400000000, 272847007)
(79500000000, 273176606)
(79600000000, 273505755)
(79700000000, 273834927)
(79800000000, 274164327)
(79900000000, 274494244)
(80000000000, 274823028)
(80100000000, 275152948)
(80200000000, 275482307)
(80300000000, 275812767)
(80400000000, 276142843)
(80500000000, 276472686)
(80600000000, 276802516)
(80700000000, 277132781)
(80800000000, 277462649)
(80900000000, 277792153)
(81000000000, 278121578)
(81100000000, 278451429)
(81200000000, 278781395)
(81300000000, 279111732)
(81400000000, 279441312)
(81500000000, 279771355)
(81600000000, 280101911)
(81700000000, 280431114)
(81800000000, 280760708)
(81900000000, 281090052)
(82000000000, 281419185)
(82100000000, 281747613)
(82200000000, 282077071)
(82300000000, 282406349)
(82400000000, 282736067)
(82500000000, 283065854)
(82600000000, 283395218)
(82700000000, 283723766)
(82800000000, 284053606)
(82900000000, 284383111)
(83000000000, 284711773)
(83100000000, 285041204)
(83200000000, 285369980)
(83300000000, 285699017)
(83400000000, 286028364)
(83500000000, 286357300)
(83600000000, 286686519)
(83700000000, 287014904)
(83800000000, 287343637)
(83900000000, 287672517)
(84000000000, 288002099)
(84100000000, 288331038)
(84200000000, 288659592)
(84300000000, 288988449)
(84400000000, 289317006)
(84500000000, 289646429)
(84600000000, 289975568)
(84700000000, 290303980)
(84800000000, 290633259)
(84900000000, 290962761)
(85000000000, 291291660)
(85100000000, 291620074)
(85200000000, 291948864)
(85300000000, 292277472)
(85400000000, 292606209)
(85500000000, 292935402)
(85600000000, 293264511)
(85700000000, 293593447)
(85800000000, 293921900)
(85900000000, 294251028)
(86000000000, 294580404)
(86100000000, 294908668)
(86200000000, 295238253)
(86300000000, 295567271)
(86400000000, 295896027)
(86500000000, 296224862)
(86600000000, 296553836)
(86700000000, 296882294)
(86800000000, 297211234)
(86900000000, 297540262)
(87000000000, 297869141)
(87100000000, 298197529)
(87200000000, 298526732)
(87300000000, 298856201)
(87400000000, 299184666)
(87500000000, 299513021)
(87600000000, 299841670)
(87700000000, 300170727)
(87800000000, 300499150)
(87900000000, 300827005)
(88000000000, 301155230)
(88100000000, 301483455)
(88200000000, 301812664)
(88300000000, 302141603)
(88400000000, 302469662)
(88500000000, 302799154)
(88600000000, 303127944)
(88700000000, 303455798)
(88800000000, 303783378)
(88900000000, 304112042)
(89000000000, 304439993)
(89100000000, 304768471)
(89200000000, 305096796)
(89300000000, 305425783)
(89400000000, 305754516)
(89500000000, 306083161)
(89600000000, 306411354)
(89700000000, 306738050)
(89800000000, 307067165)
(89900000000, 307395196)
(90000000000, 307723656)
(90100000000, 308051692)
(90200000000, 308380194)
(90300000000, 308708147)
(90400000000, 309035950)
(90500000000, 309363621)
(90600000000, 309691944)
(90700000000, 310020711)
(90800000000, 310349225)
(90900000000, 310677522)
(91000000000, 311005474)
(91100000000, 311334398)
(91200000000, 311661620)
(91300000000, 311989418)
(91400000000, 312317043)
(91500000000, 312645164)
(91600000000, 312973275)
(91700000000, 313301833)
(91800000000, 313629738)
(91900000000, 313957792)
(92000000000, 314285219)
(92100000000, 314613736)
(92200000000, 314941290)
(92300000000, 315268029)
(92400000000, 315595182)
(92500000000, 315922361)
(92600000000, 316250489)
(92700000000, 316578484)
(92800000000, 316905687)
(92900000000, 317233255)
(93000000000, 317561006)
(93100000000, 317888685)
(93200000000, 318217084)
(93300000000, 318544204)
(93400000000, 318871675)
(93500000000, 319199543)
(93600000000, 319527624)
(93700000000, 319855912)
(93800000000, 320183722)
(93900000000, 320511885)
(94000000000, 320839101)
(94100000000, 321166332)
(94200000000, 321493712)
(94300000000, 321820015)
(94400000000, 322147632)
(94500000000, 322476168)
(94600000000, 322804010)
(94700000000, 323132009)
(94800000000, 323459339)
(94900000000, 323785865)
(95000000000, 324114296)
(95100000000, 324441680)
(95200000000, 324768772)
(95300000000, 325096601)
(95400000000, 325423402)
(95500000000, 325750451)
(95600000000, 326077753)
(95700000000, 326405314)
(95800000000, 326732853)
(95900000000, 327060407)
(96000000000, 327387608)
(96100000000, 327715070)
(96200000000, 328042480)
(96300000000, 328369181)
(96400000000, 328696147)
(96500000000, 329023485)
(96600000000, 329350358)
(96700000000, 329677063)
(96800000000, 330004496)
(96900000000, 330331069)
(97000000000, 330658294)
(97100000000, 330986058)
(97200000000, 331313878)
(97300000000, 331641326)
(97400000000, 331968141)
(97500000000, 332296129)
(97600000000, 332622312)
(97700000000, 332948924)
(97800000000, 333276377)
(97900000000, 333604091)
(98000000000, 333931021)
(98100000000, 334257699)
(98200000000, 334585660)
(98300000000, 334912868)
(98400000000, 335240364)
(98500000000, 335567506)
(98600000000, 335895768)
(98700000000, 336222784)
(98800000000, 336549741)
(98900000000, 336876631)
(99000000000, 337203825)
(99100000000, 337531427)
(99200000000, 337857775)
(99300000000, 338184564)
(99400000000, 338510509)
(99500000000, 338837081)
(99600000000, 339164936)
(99700000000, 339492729)
(99800000000, 339819213)
(99900000000, 340145977)
(100000000000, 340472393)
